specificProblem,eventType,probableCause,perceivedSeverity,MO Class Name,Model
GNSS Receiver Firmware Upgrade Failure,equipmentAlarm,x733EquipmentMalfunction,WARNING,GnssInfo,Transport
License System Triggered Unlock Activated,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,Lm,SystemFunctions
Indoor RAP No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
Indoor RAP No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,RdiPort,Equipment
Indoor RAP Configuration Not Consistent With Installed Equipment,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,RuFlexibleBw,NodeSupport
SW Error,processingErrorAlarm,x733SoftwareError,MINOR,AntennaNearUnit,Equipment
SW Error,processingErrorAlarm,x733SoftwareError,MAJOR,EUtranCellFDD,ENodeBFunction
SW Error,processingErrorAlarm,x733SoftwareError,MAJOR,EUtranCellTDD,ENodeBFunction
SW Error,processingErrorAlarm,x733SoftwareError,MINOR,FieldReplaceableUnit,Equipment
SW Error,processingErrorAlarm,x733SoftwareError,MAJOR,NRCellDU,GNBDUFunction
SW Error,processingErrorAlarm,x733SoftwareError,MINOR,NRSectorCarrier,GNBDUFunction
SW Error,processingErrorAlarm,x733SoftwareError,MAJOR,NbIotCell,ENodeBFunction
SW Error,processingErrorAlarm,x733SoftwareError,MINOR,SectorCarrier,ENodeBFunction
Sync Frequency PDV Problem,communicationsAlarm,m3100Unavailable,WARNING,RadioEquipmentClockReference,Transport
Indoor RAP Communication Problem,equipmentAlarm,gsm1211LinkFailure,MINOR,RdiPort,Equipment
LTE Anchor Service Unavailable,communicationsAlarm,m3100Unavailable,MAJOR,GNBCUCPFunction,GNBCUCPFunction
Carrier Control All Resources Allocated to Other RAT,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Carrier Control All Resources Allocated to Other RAT,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorCarrier,ENodeBFunction
Node Group Sync Loss of All SoCC,equipmentAlarm,gsm1211ClockSynchronisationProblem,WARNING,NodeGroupSyncMember,Transport
PIM Level Too High,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,PimCancellationFunction,NodeSupport
System Overvoltage,equipmentAlarm,m3100PowerProblem,MAJOR,PowerDistribution,EquipmentSupportFunction
System Overvoltage,equipmentAlarm,m3100PowerProblem,MAJOR,PowerSupply,EquipmentSupportFunction
Sync PTP Time PDV Problem,communicationsAlarm,m3100Unavailable,MAJOR,RadioEquipmentClockReference,Transport
Partly Disconnected,equipmentAlarm,x733EquipmentMalfunction,MINOR,SupportUnit,Equipment
Calendar Clock Misaligned,processingErrorAlarm,x733UnderlyingResourceUnavailable,WARNING,SysM,SystemFunctions
Battery High Temperature,environmentalAlarm,m3100HighTemperature,MINOR,SupportUnit,Equipment
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellFDD,ENodeBFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellTDD,ENodeBFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,ExtTrx,BtsFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NbIotCell,ENodeBFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NodeBLocalCell,NodeBFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Trx,BtsFunction
Log Has Reached Full Capacity,processingErrorAlarm,x733FileError,WARNING,Log,SystemFunctions
DHCP Requested Parameter Missing,communicationsAlarm,x733CommunicationsProtocolError,MAJOR,InterfaceIPv4,Transport
VSWR Over Threshold,equipmentAlarm,x733EquipmentMalfunction,MINOR,RfPort,Equipment
TMF Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,AntennaNearUnit,Equipment
FRU General Problem,processingErrorAlarm,x733SoftwareProgramError,MINOR,FieldReplaceableUnit,Equipment
Default AMF PLMN Service Unavailable,communicationsAlarm,m3100Unavailable,MAJOR,GNBCUCPFunction,GNBCUCPFunction
Synchronization Lost,equipmentAlarm,gsm1211ClockSynchronisationProblem,MAJOR,FieldReplaceableUnit,Equipment
IKE Peer Not Reachable,communicationsAlarm,m3100Unavailable,MAJOR,Ikev2Session,Transport
Archive Disk Almost Full,processingErrorAlarm,m3100StorageCapacityProblem,WARNING,SystemFunctions,SystemFunctions
Cell State Inactive,processingErrorAlarm,x733UnderlyingResourceUnavailable,MAJOR,NRCellCU,GNBCUCPFunction
SyncE Reference Failed,equipmentAlarm,gsm1211ClockSynchronisationProblem,WARNING,RadioEquipmentClockReference,Transport
ASD Not Calibrated,equipmentAlarm,x733EquipmentMalfunction,MINOR,AsdSubUnit,Equipment
Indoor RAP Temperature Exceptional,environmentalAlarm,x733TemperatureUnacceptable,MINOR,FieldReplaceableUnit,Equipment
FrequencySyncIO Reference Failed,equipmentAlarm,gsm1211ClockSynchronisationProblem,WARNING,RadioEquipmentClockReference,Transport
SW Download Failure,processingErrorAlarm,m3100SoftwareDownloadFailure,MINOR,AntennaNearUnit,Equipment
SW Download Failure,processingErrorAlarm,m3100SoftwareDownloadFailure,WARNING,BootSwUpgrade,Equipment
SW Download Failure,processingErrorAlarm,m3100SoftwareDownloadFailure,MINOR,FieldReplaceableUnit,Equipment
Output Current Too High,environmentalAlarm,gsm1211ExternalEquipmentFailure,MINOR,SupportUnit,Equipment
Feeder Cable Incorrectly Connected,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,AntennaUnitGroup,Equipment
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,EUtranCellFDD,ENodeBFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,EUtranCellTDD,ENodeBFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,ExtTrx,BtsFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,NRSectorCarrier,GNBDUFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,NbIotCell,ENodeBFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,NodeBLocalCell,NodeBFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,PimCancellationFunction,NodeSupport
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,SectorEquipmentFunction,NodeSupport
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,Trx,BtsFunction
Fan Speed Continuously High,processingErrorAlarm,x733SoftwareError,MINOR,Climate,EquipmentSupportFunction
Node Group Sync Configuration Fault,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,NodeGroupSyncMember,Transport
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,AntennaNearUnit,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,BatteryBackup,EquipmentSupportFunction
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,BatteryUnit,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,Cabinet,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,EcBus,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,EquipmentSupportFunction,EquipmentSupportFunction
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,ExternalNode,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,FanGroup,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,PlugInModule,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,SupportUnit,Equipment
Fan Degraded,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
Aggregated Ethernet Link Failure,communicationsAlarm,m3100LossOfSignal,MINOR,LagPort,Transport
